,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID,x,y
147,23105,63699013801,SOLANA RANCH ELEMENTARY,13605 PACIFIC HIGHLANDS RANCH PKWY.,SAN DIEGO,CA,92130,5791,(858) 350-6600,1,1,592,SAN DIEGO,6073,USA,32.965898952,-117.191763414,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063699013801,10/25/2017 12:00:00 AM,IMAGERY,2/14/2018 12:00:00 AM,http://www.sbsd.k12.ca.us,HIGH,566,KG,06,636990,26,NOT AVAILABLE,-13045727.4284123,3890778.4938752
148,23134,63432005466,FULTON K-8,7055 SKYLINE DR.,SAN DIEGO,CA,92114,5930,(619) 344-3200,1,1,329,SAN DIEGO,6073,USA,32.7022428130001,-117.046298841,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005466,12/10/2009 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sandi.net/fulton,MIDDLE,315,KG,08,634320,14,10814367,-13029534.3862174,3855848.04138543
150,23481,63432005487,JOHN MUIR LANGUAGE ACADEMY,4431 MT. HERBERT AVE.,SAN DIEGO,CA,92117,4728,(858) 268-1954,1,1,201,SAN DIEGO,6073,USA,32.8235652220001,-117.193695041,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005487,10/13/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.sandi.net/muir,ELEMENTARY,189,KG,12,634320,12,NOT AVAILABLE,-13045942.4561463,3871908.54547875
154,23870,63438005579,TORREY PINES HIGH,3710 DEL MAR HEIGHTS RD.,SAN DIEGO,CA,92130,1316,(858) 755-0125,1,1,2648,SAN DIEGO,6073,USA,32.9579203370001,-117.225324439,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063438005579,12/10/2009 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.sduhsd.net/tp,MIDDLE,2547,09,12,634380,101,NOT AVAILABLE,-13049463.4246258,3889719.92295817
156,24062,63432005423,BOONE ELEMENTARY,7330 BROOKHAVEN RD.,SAN DIEGO,CA,92114,7115,(619) 344-6000,1,1,395,SAN DIEGO,6073,USA,32.695369758,-117.036979206,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005423,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://new.sandi.net/schools/boone,ELEMENTARY,378,KG,05,634320,17,10814313,-13028496.9291949,3854938.84952859
159,24167,63153004887,LOS PENASQUITOS ELEMENTARY,14125 CUCA ST.,SAN DIEGO,CA,92129,1852,(858) 672-3600,1,1,545,SAN DIEGO,6073,USA,32.96987568,-117.09705907,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153004887,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.powayusd.com/pusdlpes,HIGH,522,KG,05,631530,23,NOT AVAILABLE,-13035184.9890623,3891306.14603581
163,24380,63432005468,GARFIELD HIGH,1255 16TH ST.,SAN DIEGO,CA,92101,4759,(619) 362-4500,4,1,247,SAN DIEGO,6073,USA,32.7184230660001,-117.149160865,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005468,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sandi.net/garfield,ELEMENTARY,224,09,12,634320,23,NOT AVAILABLE,-13040984.9343511,3857988.69860079
167,25248,63153004890,MT. CARMEL HIGH,9550 CARMEL MOUNTAIN RD.,SAN DIEGO,CA,92129,2799,(858) 484-1180,1,1,1971,SAN DIEGO,6073,USA,32.9667143950001,-117.122061474,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153004890,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.powayusd.com/pusdmchs,MIDDLE,1888,09,12,631530,83,NOT AVAILABLE,-13037968.2439442,3890886.68899488
169,25380,63432005488,JOHNSON ELEMENTARY,1355 KELTON RD.,SAN DIEGO,CA,92114,1229,(619) 344-4900,1,1,276,SAN DIEGO,6073,USA,32.7200776060001,-117.075185295,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005488,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,NOT AVAILABLE,HIGH,264,KG,05,634320,12,10814377,-13032750.0115675,3858207.61712299
172,25458,69103013682,SAN DIEGO COUNTY COMMUNITY,6401 LINDA VISTA RD. RM. 216,SAN DIEGO,CA,92111,7399,(858) 290-5852,4,1,574,SAN DIEGO,6073,USA,32.7695662140001,-117.179898376,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069103013682,1/5/2016 12:00:00 AM,IMAGERY/OTHER,1/16/2020 12:00:00 AM,http://www.sdcoe.net,MIDDLE,529,KG,12,691030,45,NOT AVAILABLE,-13044406.6184239,3864757.52344774
180,26212,63432005408,ALCOTT ELEMENTARY,4680 HIDALGO AVE.,SAN DIEGO,CA,92117,2503,(858) 273-3415,1,1,205,SAN DIEGO,6073,USA,32.8326503230001,-117.221091884,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005408,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://new.sandi.net/schools/alcott,OTHER,196,KG,05,634320,9,10814428,-13048992.2587584,3873112.10124523
181,26591,63738006318,EMORY ELEMENTARY,1915 CORONADO AVE.,SAN DIEGO,CA,92154,2021,(619) 628-5300,1,1,453,SAN DIEGO,6073,USA,32.575489921,-117.092237875,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063738006318,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/24/2016 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,435,KG,06,637380,18,NOT AVAILABLE,-13034648.2960899,3839091.96136822
191,28393,63432005573,WILSON MIDDLE,3838 ORANGE AVE.,SAN DIEGO,CA,92105,1038,(619) 362-3400,1,1,694,SAN DIEGO,6073,USA,32.7535027690001,-117.111067117,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005573,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://wilsontigers.org,HIGH,660,06,08,634320,34,10814552,-13036744.3577213,3862631.09873023
196,29032,63432005489,JONES ELEMENTARY,2751 GREYLING DR.,SAN DIEGO,CA,92123,2836,(858) 496-8140,1,1,291,SAN DIEGO,6073,USA,32.7957034630001,-117.141820312,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005489,10/13/2009 12:00:00 AM,IMAGERY,2/21/2019 12:00:00 AM,http://www2.sandi.net/jones,ELEMENTARY,279,KG,05,634320,12,10814397,-13040167.787729,3868218.30481144
197,29369,63432005448,DOYLE ELEMENTARY,3950 BERINO CT.,SAN DIEGO,CA,92122,1601,(858) 455-6230,1,1,639,SAN DIEGO,6073,USA,32.862971255,-117.220902755,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005448,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sandiegounified.org/doyle,ELEMENTARY,613,KG,05,634320,26,10814350,-13048971.2050144,3877129.78177465
203,30026,63738006325,SUNNYSLOPE ELEMENTARY,2500 ELM AVE.,SAN DIEGO,CA,92154,1498,(619) 628-8800,1,1,446,SAN DIEGO,6073,USA,32.5810410300001,-117.079588144,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063738006325,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,446,KG,06,637380,-999,NOT AVAILABLE,-13033240.1344763,3839825.29276878
204,30445,63432010057,HAGE ELEMENTARY,9750 GALVIN AVE.,SAN DIEGO,CA,92126,4823,(858) 566-0273,1,1,618,SAN DIEGO,6073,USA,32.921059669,-117.120922846,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432010057,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.hagepta.com,ELEMENTARY,593,KG,05,634320,25,10814378,-13037841.492455,3884830.63616928
205,30448,60861000867,LOS ALTOS ELEMENTARY,1332 KENALAN DR.,SAN DIEGO,CA,92154,3731,(619) 690-5880,1,1,314,SAN DIEGO,6073,USA,32.5720449670001,-117.05008028,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060861000867,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://schools.cvesd.org/schools/losaltos/,ELEMENTARY,298,KG,06,608610,16,10814427,-13029955.3340814,3838636.88721551
206,30719,63432005479,HENRY HIGH,6702 WANDERMERE DR.,SAN DIEGO,CA,92120,3250,(619) 286-7700,1,1,2662,SAN DIEGO,6073,USA,32.7971571310001,-117.051474577,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005479,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,2567,09,12,634320,95,10801177,-13030110.5465134,3868410.81196561
208,31194,63864006485,MAR VISTA ACADEMY,1267 THERMAL AVE.,SAN DIEGO,CA,92154,2802,(619) 628-5100,1,1,622,SAN DIEGO,6073,USA,32.573199308,-117.096793963,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063864006485,12/10/2009 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.sweetwaterschools.org,ELEMENTARY,593,07,08,638640,29,NOT AVAILABLE,-13035155.477486,3838789.37228321
210,31488,63738006325,SUNNYSLOPE ELEMENTARY,2500 ELM AVE.,SAN DIEGO,CA,92154,1498,(619) 628-8800,1,1,437,SAN DIEGO,6073,USA,32.5810410300001,-117.079588144,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063738006325,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,NOT AVAILABLE,HIGH,418,KG,06,637380,19,NOT AVAILABLE,-13033240.1344763,3839825.29276878
213,31984,63432005504,LOMA PORTAL ELEMENTARY,3341 BROWNING ST.,SAN DIEGO,CA,92106,1599,(619) 223-1683,1,1,404,SAN DIEGO,6073,USA,32.740047874,-117.221063884,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005504,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://www.lomaportalelementary.com,ELEMENTARY,404,KG,04,634320,-999,10814424,-13048989.1418127,3860850.28021222
215,32301,63432012303,EAST VILLAGE MIDDLE COLLEGE HIGH,1313 PARK BLVD.,SAN DIEGO,CA,92101,4717,(619) 362-4769,4,1,135,SAN DIEGO,6073,USA,32.7196551380001,-117.151915738,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432012303,9/30/2011 12:00:00 AM,IMAGERY,9/30/2011 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,127,09,12,634320,8,NOT AVAILABLE,-13041291.6054106,3858151.71837826
216,32342,63522012993,VISTA DEL MAR,4885 DEL SOL BLVD.,SAN DIEGO,CA,92154,8401,(619) 661-6753,1,1,445,SAN DIEGO,6073,USA,32.5707430950001,-117.028488233,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063522012993,2/4/2014 12:00:00 AM,IMAGERY,5/16/2014 12:00:00 AM,http://www.sysdschools.org,ELEMENTARY,425,07,08,635220,20,NOT AVAILABLE,-13027551.7184042,3838464.91608933
217,32419,63432005410,ANGIER ELEMENTARY,8450 HURLBUT ST.,SAN DIEGO,CA,92123,2013,(858) 496-8295,1,1,437,SAN DIEGO,6073,USA,32.8051353860001,-117.145683269,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005410,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.sandi.net/angier,ELEMENTARY,419,KG,05,634320,18,10814290,-13040597.8101352,3869467.41679939
218,32537,63432005477,HEARST ELEMENTARY,6230 DEL CERRO BLVD.,SAN DIEGO,CA,92120,4604,(619) 583-5704,1,1,511,SAN DIEGO,6073,USA,32.78319466,-117.064268458,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005477,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.sandi.net/hearst,MIDDLE,490,KG,05,634320,21,10814384,-13031534.7548316,3866561.91212331
222,33026,63432005521,MIRAMAR RANCH ELEMENTARY,10770 RED CEDAR DR.,SAN DIEGO,CA,92131,1204,(858) 271-0470,1,1,643,SAN DIEGO,6073,USA,32.9094433110001,-117.098363744,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005521,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://miramarranch.org,HIGH,618,KG,05,634320,25,10814443,-13035330.2247076,3883290.23689633
223,33198,61074010627,TORREY HILLS,10830 CALLE MAR DE MARIPOSA,SAN DIEGO,CA,92130,8657,(858) 481-4266,1,1,18,SAN DIEGO,6073,USA,32.9142378180001,-117.223487598,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061074010627,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.dmusd.org/torrey,HIGH,-999,KG,06,610740,18,NOT AVAILABLE,-13049258.948421,3883925.99299995
224,33325,63432011153,SAN DIEGO SCIENCE AND TECHNOLOGY,1405 PARK BLVD.,SAN DIEGO,CA,92101,4722,(619) 525-7337,1,1,877,SAN DIEGO,6073,USA,32.7200847030001,-117.153171115,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011153,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://sandi.net/sdhsscitech/,MIDDLE,837,09,12,634320,40,NOT AVAILABLE,-13041431.353339,3858208.55616298
235,33518,63432005504,LOMA PORTAL ELEMENTARY,3341 BROWNING ST.,SAN DIEGO,CA,92106,1599,(619) 223-1683,1,1,404,SAN DIEGO,6073,USA,32.740047874,-117.221063884,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005504,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://www.lomaportalelementary.com,ELEMENTARY,387,KG,04,634320,17,10814424,-13048989.1418127,3860850.28021222
236,33519,63432003954,NYE ELEMENTARY,981 VALENCIA PKWY.,SAN DIEGO,CA,92114,6574,(619) 430-1200,1,1,349,SAN DIEGO,6073,USA,32.6960794890001,-117.069114395,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432003954,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,NOT AVAILABLE,HIGH,334,KG,05,634320,15,10814457,-13032074.2020709,3855032.73199665
243,33739,63432005485,JEFFERSON ELEMENTARY,3770 UTAH ST.,SAN DIEGO,CA,92104,3532,(619) 344-3300,1,1,408,SAN DIEGO,6073,USA,32.7474814080001,-117.133131464,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005485,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,390,KG,05,634320,18,10814395,-13039200.549594,3861834.11008449
248,34793,63432005441,CUBBERLEY ELEMENTARY,3201 MARATHON DR.,SAN DIEGO,CA,92123,2638,(858) 496-8075,1,1,161,SAN DIEGO,6073,USA,32.8014840650001,-117.126692826,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005441,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.sandi.net/cubberley,ELEMENTARY,155,KG,05,634320,6,10814343,-13038483.8036905,3868983.84021464
251,35770,63432005537,POINT LOMA HIGH,2335 CHATSWORTH BLVD.,SAN DIEGO,CA,92106,1646,(619) 860-5000,1,1,1840,SAN DIEGO,6073,USA,32.740247449,-117.225088636,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005537,10/13/2009 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.pointlomahigh.com,ELEMENTARY,1772,09,12,634320,68,10814479,-13049437.1751559,3860876.69293548
253,36271,63699011397,SOLANA PACIFIC ELEMENTARY,3901 TOWNSGATE DR.,SAN DIEGO,CA,92130,2584,(858) 794-4500,1,1,552,SAN DIEGO,6073,USA,32.9513869990001,-117.231124532,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063699011397,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,532,04,06,636990,20,NOT AVAILABLE,-13050109.0880251,3888853.17681962
255,36437,63432011384,IBARRA ELEMENTARY,4877 ORANGE AVE.,SAN DIEGO,CA,92115,4947,(619) 641-5400,1,1,441,SAN DIEGO,6073,USA,32.7527675010001,-117.089501846,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011384,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,NOT AVAILABLE,MIDDLE,421,KG,05,634320,20,NOT AVAILABLE,-13034343.7227348,3862533.77561072
257,36584,63153004896,SUNSET HILLS ELEMENTARY,9291 OVIEDO ST.,SAN DIEGO,CA,92129,2199,(858) 484-1600,1,1,423,SAN DIEGO,6073,USA,32.9683563,-117.126719028,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153004896,12/10/2009 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.powayusd.com/pusdshes,ELEMENTARY,403,KG,05,631530,20,10787840,-13038486.7204838,3891104.54429416
263,37458,63864006492,SOUTHWEST SENIOR HIGH,1685 HOLLISTER ST.,SAN DIEGO,CA,92154,4548,(619) 628-3023,1,1,1663,SAN DIEGO,6073,USA,32.5669013040001,-117.082743225,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063864006492,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sweetwaterschools.org,HIGH,1590,09,12,638640,73,NOT AVAILABLE,-13033591.3564866,3837957.44824195
264,38892,63432005539,RILEY/NEW DAWN,5650 MT. ACKERLY DR.,SAN DIEGO,CA,92111,4016,(858) 302-3340,2,1,175,SAN DIEGO,6073,USA,32.8093393620001,-117.17898833,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005539,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.sandi.net/riley,ELEMENTARY,155,KG,12,634320,20,NOT AVAILABLE,-13044305.3125665,3870024.21095352
272,40277,63432012000,JOYNER ELEMENTARY,4271 MYRTLE AVE.,SAN DIEGO,CA,92105,3426,(619) 640-4000,1,1,485,SAN DIEGO,6073,USA,32.741731284,-117.102832302,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432012000,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,467,KG,05,634320,18,NOT AVAILABLE,-13035827.6623087,3861073.07270958
274,40883,63153011757,MONTEREY RIDGE ELEMENTARY,17117 4S RANCH PKWY.,SAN DIEGO,CA,92127,8853,(858) 487-6887,1,1,901,SAN DIEGO,6073,USA,33.026874225,-117.10889561,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153011757,1/29/2010 12:00:00 AM,IMAGERY,5/20/2010 12:00:00 AM,http://www.powayusd.com/pusdmres,HIGH,866,KG,05,631530,35,NOT AVAILABLE,-13036502.6266678,3898871.61079255
275,40890,63432005542,ROSS ELEMENTARY,7470 BAGDAD ST.,SAN DIEGO,CA,92111,4317,(858) 800-5800,1,1,188,SAN DIEGO,6073,USA,32.8118030730001,-117.16200086,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005542,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,181,KG,05,634320,7,10814490,-13042414.2760563,3870350.52854914
284,41175,63432005435,CLAY ELEMENTARY,6506 SOLITA AVE.,SAN DIEGO,CA,92115,4244,(619) 344-5700,1,1,363,SAN DIEGO,6073,USA,32.7630650360001,-117.058276496,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005435,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.sandi.net/clay,MIDDLE,349,KG,05,634320,14,NOT AVAILABLE,-13030867.7326729,3863896.87319798
285,41176,63432005463,FRANKLIN ELEMENTARY,4481 COPELAND AVE.,SAN DIEGO,CA,92116,4802,(619) 344-3000,1,1,400,SAN DIEGO,6073,USA,32.758373915,-117.103729171,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005463,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,NOT AVAILABLE,HIGH,383,KG,05,634320,17,NOT AVAILABLE,-13035927.5013091,3863275.88409611
286,41177,63432005407,ADAMS ELEMENTARY,4672 35TH ST.,SAN DIEGO,CA,92116,3536,(619) 362-4200,1,1,304,SAN DIEGO,6073,USA,32.761769692,-117.118650783,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005407,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://sandi.net/adams,ELEMENTARY,291,KG,05,634320,13,NOT AVAILABLE,-13037588.5675588,3863725.39822507
290,41220,63153004894,ROLLING HILLS ELEMENTARY,15255 PENASQUITOS DR.,SAN DIEGO,CA,92129,1016,(858) 672-3400,1,1,439,SAN DIEGO,6073,USA,32.990215129,-117.09246464,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153004894,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.powayusd.com/pusdrhes,ELEMENTARY,419,KG,05,631530,20,10814488,-13034673.5394542,3894005.25743317
292,41222,63432005531,PACIFIC BEACH ELEMENTARY,1234 TOURMALINE ST.,SAN DIEGO,CA,92109,1856,(858) 488-8316,1,1,360,SAN DIEGO,6073,USA,32.8090450230001,-117.250565325,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005531,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.sandi.net/pbe,HIGH,345,KG,05,634320,15,10814462,-13052273.2272025,3869985.22646857
293,41223,63432005462,FOSTER ELEMENTARY,6550 51ST ST.,SAN DIEGO,CA,92120,2794,(619) 510-4100,1,1,414,SAN DIEGO,6073,USA,32.7924442290001,-117.084564531,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005462,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.sandi.net/foster,ELEMENTARY,395,KG,05,634320,19,10814517,-13033794.1033431,3867786.70059678
296,41227,63432005464,FREESE ELEMENTARY,8140 GREENLAWN DR.,SAN DIEGO,CA,92114,7309,(619) 344-3100,1,1,266,SAN DIEGO,6073,USA,32.704397124,-117.027498625,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005464,12/10/2009 12:00:00 AM,IMAGERY,2/24/2016 12:00:00 AM,http://www.sandi.net/freese,MIDDLE,255,KG,05,634320,11,10814365,-13027441.5557455,3856133.03562499
312,43426,63432011973,RODRIGUEZ ELEMENTARY,825 S. 31ST ST.,SAN DIEGO,CA,92113,2525,(619) 699-4500,1,1,397,SAN DIEGO,6073,USA,32.6983942520001,-117.126509162,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432011973,1/29/2010 12:00:00 AM,GEOCODE,5/20/2010 12:00:00 AM,http://new.sandi.net/schools/rodriguez,ELEMENTARY,383,KG,05,634320,14,NOT AVAILABLE,-13038463.3583075,3855338.93159239
