OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STFIPS,COFIPS,SECTOR,LEVEL,HI_OFFER,DEG_GRANT,LOCALE,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP,SHELTER_ID,x,y
5650,114734,FRANCISCAN SCHOOL OF THEOLOGY,5998 ALCALA PARK,SAN DIEGO,CA,92110,NOT AVAILABLE,(619) 574-5800,2,A,68,SAN DIEGO,06073,USA,33.2326200000001,-117.31986,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=114734,10/13/2009 12:00:00 AM,IMAGERY/OTHER,3/6/2019 12:00:00 AM,www.fst.edu/,06,073,2,1,20,1,11,-2,-2,FST,24,1,31,26,57,2,-999,11,NOT AVAILABLE,-13059987.0751381,3926221.23867125
5667,122339,SAN DIEGO CITY COLLEGE,1313 PARK BOULEVARD,SAN DIEGO,CA,92101,4787,(619) 388-3400,1,A,15561,SAN DIEGO,06073,USA,32.7188552200001,-117.151641034,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=122339,10/13/2009 12:00:00 AM,IMAGERY,7/19/2016 12:00:00 AM,www.sdcity.edu/,06,073,4,1,40,1,11,-2,-2,NOT AVAILABLE,4,4,12914,1951,14865,2,-999,696,NOT AVAILABLE,-13041261.0255012,3858045.87815927
5668,122384,SAN DIEGO MIRAMAR COLLEGE,10440 BLACK MOUNTAIN RD,SAN DIEGO,CA,92126,2999,(619) 388-7800,1,A,14026,SAN DIEGO,06073,USA,32.909545947,-117.120887747,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=122384,10/13/2009 12:00:00 AM,IMAGERY,7/19/2016 12:00:00 AM,www.sdmiramar.edu/,06,073,4,1,40,1,11,-2,-2,NOT AVAILABLE,5,4,11516,1892,13408,2,-999,618,NOT AVAILABLE,-13037837.5852522,3883303.84616508
5669,122409,SAN DIEGO STATE UNIVERSITY,5500 CAMPANILE DR,SAN DIEGO,CA,92182,0001,(619) 594-5200,1,A,40053,SAN DIEGO,06073,USA,32.7752498,-117.071227857,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=122409,10/13/2009 12:00:00 AM,IMAGERY,7/19/2016 12:00:00 AM,www.sdsu.edu/,06,073,1,1,11,1,11,-2,-2,NOT AVAILABLE,16,5,5185,31149,36334,1,7472,3719,NOT AVAILABLE,-13032309.4715845,3865509.98931308
5670,122436,UNIVERSITY OF SAN DIEGO,5998 ALCALA PARK,SAN DIEGO,CA,92110,2492,(619) 260-4600,2,A,11226,SAN DIEGO,06073,USA,32.7714202510001,-117.188720861,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=122436,10/13/2009 12:00:00 AM,IMAGERY,7/19/2016 12:00:00 AM,www.sandiego.edu/,06,073,2,1,11,1,11,-2,-2,USD,17,3,1839,7022,8861,1,2675,2365,NOT AVAILABLE,-13045388.7329616,3865002.97931686
5763,119605,NATIONAL UNIVERSITY,11255 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,1011,(800) 628-8648,2,A,21431,SAN DIEGO,06073,USA,32.909894364,-117.24302561,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=119605,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/27/2016 12:00:00 AM,www.nu.edu/,06,073,2,1,13,1,11,-2,-2,NOT AVAILABLE,18,4,8863,9207,18070,2,-999,3361,NOT AVAILABLE,-13051433.9099679,3883350.04547793
5764,121309,POINT LOMA NAZARENE UNIVERSITY,3900 LOMALAND DR,SAN DIEGO,CA,92106,2899,(619) 849-2200,2,A,5491,SAN DIEGO,06073,USA,32.7168713180001,-117.250211265,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=121309,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/27/2016 12:00:00 AM,www.pointloma.edu/,06,073,2,1,13,1,11,-2,-2,PLNU,18,2,1435,3181,4616,1,1845,875,NOT AVAILABLE,-13052233.8134235,3857783.38457236
5822,262022,BETHEL SEMINARY-SAN DIEGO,6116 AROSA ST,SAN DIEGO,CA,92115,NOT AVAILABLE,(619) 325-5200,2,A,31,SAN DIEGO,06073,USA,32.765386865,-117.066050002,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=262022,10/13/2009 12:00:00 AM,IMAGERY/OTHER,6/15/2016 12:00:00 AM,https://www.bethel.edu/,06,073,2,3,20,1,11,-2,-2,BETHEL UNIVERSITY/BETHEL SEMINARY SAN DIEGO,24,1,16,15,31,2,-999,-999,NOT AVAILABLE,-13031733.0754025,3864204.23838651
5826,365125,PALOMAR INSTITUTE OF COSMETOLOGY,355 VIA VERA CRUZ #3,SAN MARCOS,CA,92078,NOT AVAILABLE,(760) 744-7900 EXT 113,3,A,119,SAN DIEGO,06073,USA,33.136630397,-117.18835054,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=365125,10/13/2009 12:00:00 AM,IMAGERY/OTHER,6/15/2016 12:00:00 AM,https://pic.edu/,06,073,9,3,0,2,21,-2,-2,NOT AVAILABLE,-2,1,-999,99,99,2,-999,20,NOT AVAILABLE,-13045347.5090164,3913453.43746401
5955,109730,ASSOCIATED TECHNICAL COLLEGE-SAN DIEGO,"2650 CAMINO DEL RIO NORTH, STE. 100",SAN DIEGO,CA,92108,1630,(619) 234-2181 EXT 309,3,A,56,SAN DIEGO,06073,USA,32.715460025,-117.15819587,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=109730,10/13/2009 12:00:00 AM,IMAGERY/OTHER,6/21/2016 12:00:00 AM,www.atcsd.edu/,06,073,9,3,0,2,11,-2,-2,NOT AVAILABLE,-2,1,-999,45,45,2,-999,11,NOT AVAILABLE,-13041990.706507,3857596.65745042
5956,109934,BELLUS ACADEMY-CHULA VISTA,"970 BROADWAY, SUITE 110",CHULA VISTA,CA,91911,NOT AVAILABLE,(619) 474-6607 EXT 0,3,A,363,SAN DIEGO,06073,USA,32.67656994,-117.089700221,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=109934,10/13/2009 12:00:00 AM,IMAGERY/OTHER,8/25/2015 12:00:00 AM,www.bellusacademy.edu/,06,073,6,3,0,2,11,-2,-2,BELLUS ACADEMY,-2,1,-999,334,334,2,-999,29,NOT AVAILABLE,-13034365.8057388,3852452.30111321
5958,111708,CET-SAN DIEGO,4153 MARKET STREET,SAN DIEGO,CA,92102,NOT AVAILABLE,(408) 287-7924,2,A,213,SAN DIEGO,06073,USA,32.711239,-117.105459,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=111708,10/13/2009 12:00:00 AM,IMAGERY/OTHER,8/25/2015 12:00:00 AM,https://www.cetweb.edu/,06,073,8,3,0,2,11,-2,-2,NOT AVAILABLE,-2,1,-999,197,197,2,-999,16,NOT AVAILABLE,-13036120.0649926,3857038.19441986
5960,117575,SOUTHERN CALIFORNIA SEMINARY,2075 E. MADISON AVENUE,EL CAJON,CA,92019,1108,(619) 201-8999,2,A,213,SAN DIEGO,06073,USA,32.799613666,-116.905461243,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=117575,10/13/2009 12:00:00 AM,IMAGERY/OTHER,6/21/2016 12:00:00 AM,www.socalsem.edu/,06,073,2,1,13,1,21,-2,-2,NOT AVAILABLE,24,1,108,66,174,1,10,39,NOT AVAILABLE,-13013856.4165235,3868736.1345018
5964,120661,CONCORDE CAREER COLLEGE-SAN DIEGO,"4393 IMPERIAL AVENUE, SUITE 100",SAN DIEGO,CA,92113,1964,(619) 688-0800,3,A,816,SAN DIEGO,06073,USA,32.702776837,-117.102897882,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=120661,10/13/2009 12:00:00 AM,IMAGERY/OTHER,1/24/2019 12:00:00 AM,https://www.concorde.edu/campus/san-diego-california,06,073,6,1,40,1,11,-2,-2,NOT AVAILABLE,10,1,19,714,733,2,-999,83,NOT AVAILABLE,-13035834.962641,3855918.68688744
6253,488785,UNIVERSITY OF SAINT KATHERINE,1637 CAPALINA ROAD,SAN MARCOS,CA,92069,NOT AVAILABLE,(760) 471-1316,2,A,318,SAN DIEGO,06073,USA,33.151261994,-117.196573124,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=488785,11/6/2018 12:00:00 AM,IMAGERY/OTHER,11/7/2018 12:00:00 AM,www.usk.edu/,06,073,2,1,30,1,21,-2,-2,NOT AVAILABLE,-2,1,19,230,249,2,-999,69,NOT AVAILABLE,-13046262.8428803,3915398.71717317
6256,490063,SOUTHERN STATES UNIVERSITY,"1094 CUHADY PLACE, #120",SAN DIEGO,CA,92110,NOT AVAILABLE,(619) 298-1829,3,A,398,SAN DIEGO,06073,USA,32.7676616410001,-117.201535379,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=490063,11/6/2018 12:00:00 AM,IMAGERY/OTHER,11/8/2018 12:00:00 AM,www.ssu.edu/,06,073,3,3,20,1,11,-2,-2,NOT AVAILABLE,-2,1,-999,358,358,2,-999,40,NOT AVAILABLE,-13046815.2385801,3864505.38244366
6268,490285,CALIFORNIA INSTITUTE OF ARTS & TECHNOLOGY,2820 CAMINO DEL RIO SOUTH SUITE 100,SAN DIEGO,CA,92108,3822,(877) 559-3621,3,A,375,SAN DIEGO,06073,USA,32.770804884,-117.13413325,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=490285,11/6/2018 12:00:00 AM,IMAGERY/OTHER,11/9/2018 12:00:00 AM,www.ciat.edu/,06,073,6,3,40,1,11,-2,-2,NOT AVAILABLE,-2,1,-999,332,332,2,-999,43,NOT AVAILABLE,-13039312.0679015,3864921.51034249
6286,491190,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT SAN DIEGO,401 W. A STREET AT 1 COLUMBIA PLACE,SAN DIEGO,CA,92101,7903,(619) 541-4500,2,A,123,SAN DIEGO,06073,USA,32.7183175000001,-117.167066625,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=491190,11/6/2018 12:00:00 AM,IMAGERY/OTHER,11/15/2018 12:00:00 AM,https://www.thechicagoschool.edu/san-diego/,06,073,2,1,13,1,11,-2,-2,NOT AVAILABLE,-2,1,35,81,116,2,-999,7,NOT AVAILABLE,-13042978.1944366,3857974.73089698
6303,491659,ICOHS COLLEGE,1770 4TH AVENUE,SAN DIEGO,CA,92101,2607,(858) 581-9460 EXT 309,2,A,126,SAN DIEGO,06073,USA,32.7211836160001,-117.166850071,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=491659,12/4/2019 12:00:00 AM,IMAGERY/OTHER,12/12/2019 12:00:00 AM,https://icohs.edu/,06,073,8,2,0,2,11,-2,-2,ICOHS,-2,1,-999,100,100,2,-999,26,NOT AVAILABLE,-13042954.0877555,3858353.95980573
6326,492306,ESCONDIDO ADULT SCHOOL,220 W CREST STREET,ESCONDIDO,CA,92025,NOT AVAILABLE,(760) 737-8000,1,A,90,SAN DIEGO,06073,USA,33.131225,-117.088454,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=492306,12/4/2019 12:00:00 AM,IMAGERY/OTHER,12/16/2019 12:00:00 AM,www.escondidoadultschool.org/,06,073,7,3,0,2,21,-2,-2,NOT AVAILABLE,-2,1,90,-999,90,2,-999,-999,NOT AVAILABLE,-13034227.0770516,3912734.8686864
6327,492324,VISTA ADULT SCHOOL,510 SUNSET DRIVE,VISTA,CA,92081,NOT AVAILABLE,(760) 758-7122,1,A,264,SAN DIEGO,06073,USA,33.1873340000001,-117.240253,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=492324,12/4/2019 12:00:00 AM,IMAGERY/OTHER,12/16/2019 12:00:00 AM,vistaadultschool.org/,06,073,7,1,0,2,21,-2,-2,NOT AVAILABLE,-2,1,264,-999,264,2,-999,-999,NOT AVAILABLE,-13051125.2644346,3920195.89891522
6331,492449,PIMA MEDICAL INSTITUTE-SAN MARCOS,111 CAMPUS WAY,SAN MARCOS,CA,92078,8702,(760) 299-4500,3,A,657,SAN DIEGO,06073,USA,33.1369060000001,-117.160199,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=492449,12/4/2019 12:00:00 AM,IMAGERY/OTHER,12/12/2019 12:00:00 AM,pmi.edu/,06,073,6,2,40,1,21,-2,-2,NOT AVAILABLE,-2,1,-999,567,567,2,-999,90,NOT AVAILABLE,-13042213.6939186,3913490.07605314
6350,493512,SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY,"1095 K STREET, SUITE B",SAN DIEGO,CA,92101,7446,(619) 934-0797,3,A,106,SAN DIEGO,06073,USA,32.708222,-117.154966,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=493512,11/3/2020 12:00:00 AM,IMAGERY/OTHER,11/3/2020 12:00:00 AM,www.sdgku.edu/,06,073,3,3,20,1,11,-2,-2,NOT AVAILABLE,-2,1,-999,93,93,2,-999,13,NOT AVAILABLE,-13041631.1590233,3856639.0462008
6382,494746,GLENDALE CAREER COLLEGE-BRIGHTWOOD TEACHOUT,8888 BALBOA AVENUE,SAN DIEGO,CA,92123,1506,(858) 715-1123,3,A,217,SAN DIEGO,06073,USA,32.8220450000001,-117.136429,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=494746,11/3/2020 12:00:00 AM,IMAGERY/OTHER,11/3/2020 12:00:00 AM,glendalecareer.com/,06,073,6,1,40,1,11,-2,-2,NOT AVAILABLE,-2,1,-999,180,180,2,-999,37,NOT AVAILABLE,-13039567.6296224,3871707.1649196
6437,496186,CALIFORNIA INSTITUTE OF ARTS & TECHNOLOGY-NATIONAL CITY,401 MILE OF CARS WAY SUITE 100,NATIONAL CITY,CA,91950,6610,(877) 559-3621,3,N,152,SAN DIEGO,06073,USA,32.6617033110001,-117.10599827,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=496186,10/13/2021 12:00:00 AM,IMAGERY/OTHER,5/25/2022 12:00:00 AM,https://www.ciat.edu/,06,073,6,1,40,1,21,-2,-2,NOT AVAILABLE,-2,1,-999,134,134,2,-999,18,NOT AVAILABLE,-13036180.0962544,3850486.34447755
6441,483586,CALIFORNIA INTERNATIONAL BUSINESS UNIVERSITY,550 WEST B STREET,SAN DIEGO,CA,92101,NOT AVAILABLE,(619) 384-8596,2,A,49,SAN DIEGO,06073,USA,32.718090304,-117.168074854,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=483586,9/15/2020 12:00:00 AM,IMAGERY/OTHER,5/12/2021 12:00:00 AM,www.cibu.edu,06,073,2,1,9,1,11,-2,-2,CIBU,-2,1,3,31,34,2,-999,15,NOT AVAILABLE,-13043090.4299754,3857944.67007707
6451,493512,SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY,"1095 K STREET, SUITE B",SAN DIEGO,CA,92101,7446,(619) 934-0797,3,N,93,SAN DIEGO,06073,USA,32.7082568340001,-117.15517246,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=493512,9/15/2020 12:00:00 AM,IMAGERY/OTHER,5/12/2021 12:00:00 AM,www.sdgku.edu,06,073,3,1,7,1,11,-2,-2,NOT AVAILABLE,-2,1,-999,80,80,2,-999,13,NOT AVAILABLE,-13041654.1420453,3856643.65465181
6494,494126,COLUMBIA COLLEGE - NAVAL BASE SAN DIEGO,"3975 NORMAN SCOTT ROAD BUILDING 3280, ROOM B103",SAN DIEGO,CA,92136,5588,NOT AVAILABLE,-3,G,-999,SAN DIEGO,06073,USA,32.6842612290001,-117.115109337,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=494126,9/15/2020 12:00:00 AM,IMAGERY/OTHER,5/12/2021 12:00:00 AM,NOT AVAILABLE,06,073,99,-3,-3,-3,11,-2,177065,NOT AVAILABLE,-2,-2,-999,-999,-999,-1,-999,-999,NOT AVAILABLE,-13037194.3355934,3853469.52228683
6542,494746,GLENDALE CAREER COLLEGE-BRIGHTWOOD TEACHOUT,8888 BALBOA AVENUE,SAN DIEGO,CA,92123,1506,(460) 465-0460,3,N,194,SAN DIEGO,06073,USA,32.8220262200001,-117.136424161,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=494746,9/15/2020 12:00:00 AM,IMAGERY/OTHER,5/12/2021 12:00:00 AM,glendalecareer.com,06,073,6,2,3,1,11,-2,-2,NOT AVAILABLE,-2,1,-999,162,162,2,-999,32,NOT AVAILABLE,-13039567.0909474,3871704.67719469
6558,494913,FRANCISCAN SCHOOL OF THEOLOGY - SAN DIEGO,5998 ALCALA PARK,SAN DIEGO,CA,92110,2492,NOT AVAILABLE,-3,G,-999,SAN DIEGO,06073,USA,32.7718882290001,-117.191672761,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=494913,9/15/2020 12:00:00 AM,IMAGERY/OTHER,5/12/2021 12:00:00 AM,NOT AVAILABLE,06,073,99,-3,-3,-3,11,-2,114734,NOT AVAILABLE,-2,-2,-999,-999,-999,-1,-999,-999,NOT AVAILABLE,-13045717.3369665,3865064.93570992
